orderId,orderReference,itemId,rawName,currentProductId,currentProductName,currentPrice,mode,reason
cmn2sbjkv001009jmbbqpwtp6,67146,cmn2sbjky001109jms53m0818,15MM BACKING CORDPack 1,cmmlvtbqq00bosgpvttdhwl9y,10MM BACKING CORDPack 1,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmn2sbjkv001009jmbbqpwtp6,67146,cmn2sbjky001209jmisnjkkdp,12MM BACKING CORDPack 1,cmmlvtbqq00bosgpvttdhwl9y,10MM BACKING CORDPack 1,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmn2txhl1000g09l8cj2m0f40,67158,cmn2txhl4000j09l888d33fr9,DURA100 - WHITE,cmmlu8u53002bsgpvtabe4yqm,DURA100 - CABLE GREY 03BB17/015,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmn2txhn7000p09l84iofia4d,67160,cmn2txhna000q09l8fm5ozvul,FLEXOTHANE 27 GREY,cmn2thnl6000409l8qhdovse5,FLEXOTHANE 27 GREY - 600ML,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnehbk2u001s09lgv9bvvjpq,67206,cmnehbk2x001t09lguzuxv9we,TRADE65 - QUIET HIDEAWAY 81YY81/016,cmmlw14at00fhsgpv12rjeqnl,DULUX TRADE65 - QUITE HIDEAWAY 81YY81/016,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnfm1bat000x09jvu0gxrkl9,67201,cmnfm1bav000z09jv7t0lpdn6,DURA100 WHITE,cmmlu8u53002bsgpvtabe4yqm,DURA100 - CABLE GREY 03BB17/015,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnehbjsa000z09lgvzcrqddw,67256,cmnehbjse001109lgohf7m0mm,ROOFGUARD - BLACK,cmmltjjm50006scpvit3iouq1,ROOFGUARD - BASIC BLACK,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnehbki3002c09lg63fgx36t,67270,cmnehbki5002d09lgtq0oct4u,PRE-MIX PLASTER SAND,cmmuf9xei000009l7szght5q2,Pre-Mix Plaster,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnehcqeb001g09l7rpc8djed,67309,cmnehcqed001h09l7xol333tz,HANDYSKIM - INTERIOR 25KG,cmmx2gbg1000609ifjgaf93dv,HSWS25KG - Handyskim 25kg Interior,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnehd8aj002l09l7zvjt838a,67320,cmnehd8am002n09l7chjq9vix,DURA100 - WHITE,cmmlu8u53002bsgpvtabe4yqm,DURA100 - CABLE GREY 03BB17/015,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnehd8aj002l09l7zvjt838a,67320,cmnehd8am002s09l76t68nrs3,DURA100 - ZEPPELIN 30YY46/036,cmmlu8u53002bsgpvtabe4yqm,DURA100 - CABLE GREY 03BB17/015,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnehd8aj002l09l7zvjt838a,67320,cmnehd8am002t09l782j88txx,DURA100 - SNOWFIELD 00NN72/000,cmmlu8u53002bsgpvtabe4yqm,DURA100 - CABLE GREY 03BB17/015,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnehd8cu002y09l7j7jduo8w,67315,cmnehd8cx002z09l7kn8vnncz,ROOFGUARD - BASIC BLACK,cmmltjjm50006scpvit3iouq1,ROOFGUARD - BASIC BLACK,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnftur0f000n09l75i8x12x8,67410,cmnftur0k000o09l70jpss3d0,FLEXOTHANE 27 GREY,cmn2thnl6000409l8qhdovse5,FLEXOTHANE 27 GREY - 600ML,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnh1hfhu000g09l563repd2l,67417,cmnh1hfib000h09l5b2r87w4r,HANDYSKIM INTERIOR - 25KG,cmmx2gbg1000609ifjgaf93dv,HSWS25KG - Handyskim 25kg Interior,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnh1hfoh000l09l5mtjcvgxg,67419,cmnh1hfol000p09l529ssra5h,TRADE65 - 30YY56/060 FOSSIL GREY,cmmsxxlye000609i8giktvqk0,TRADE100 - 30YY56/060 FOSSIL GREY,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmnhbtdd6000609l8x0ttns4b,67423,cmnhbtddb000709l8zbfenvii,PRE-MIX PLASTER SAND,cmmuf9xei000009l7szght5q2,Pre-Mix Plaster,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
